Station ID,Name,Waypoint,Max |r|,Lag at Max (hr),r_partial (wind ctrl),Δ kt per 50k cfs,Note
ACT4976,"Tolly Point, 1.6 mi. east of",Start,0.034,10,0.024,0.014,
ACT4916,"Sharp Island Lt., 3.4 mi. west of",Black Walnut,0.034,8,0.025,0.009,
ACT4901,"Plum Point, 1.4 mi. ESE of",Gooses Reef,0.036,8,0.026,0.009,
ACT4891,"James Island, 3.4 mi. west of",James Island N,0.032,223,0.024,0.008,
CHB0304,"James Island, 1.6 n.mi. SW of",James Island S,-0.027,157,-0.025,-0.014,
ACT4866,"Cove Point, 2.7 n.mi. east of",Cove Point,0.034,7,0.025,0.013,
ACT4826,"Point No Point, 2.8 n.mi. east of",Point No Point,0.032,7,0.021,0.009,
ACT4806,Point Lookout approach,Point Lookout,0.031,7,0.021,0.011,
